1710892800000,61937.41000000,63036.00000000,61840.00000000,62773.22000000,2224.00792000,1710894599999,138716774.54966190,69672,1153.87683000,71990819.95113920,0
1710894600000,62773.23000000,63386.14000000,62406.80000000,63230.02000000,2118.77550000,1710896399999,133242839.13016930,83904,1029.29197000,64746636.02506290,0
1710896400000,63230.02000000,63240.00000000,61885.00000000,62381.10000000,1993.77399000,1710898199999,124539256.29570260,78668,904.37671000,56493433.01372050,0
1710898200000,62381.11000000,62616.00000000,61986.00000000,62374.86000000,1545.53791000,1710899999999,96255175.11099520,61566,807.84456000,50314087.85278580,0
1710900000000,62374.87000000,63030.00000000,62226.61000000,62992.01000000,1642.31100000,1710901799999,102945730.10267680,57325,803.48003000,50389554.89328560,0
1710901800000,62992.00000000,63035.41000000,62699.99000000,62881.40000000,1168.23682000,1710903599999,73415642.23343610,53348,554.58202000,34852166.36270090,0
1710903600000,62881.40000000,63466.21000000,62758.06000000,63382.21000000,1223.14966000,1710905399999,77171497.26032130,52186,716.22531000,45192834.49603520,0
1710905400000,63382.21000000,63398.07000000,61666.00000000,61860.81000000,2344.33020000,1710907199999,146172457.18670630,81403,969.36212000,60420823.95536350,0
1710907200000,61860.82000000,62341.10000000,61700.00000000,61829.27000000,2294.13682000,1710908999999,142200941.05190190,73454,1076.07668000,66697261.87463870,0
1710909000000,61829.28000000,61847.66000000,61111.00000000,61646.91000000,2833.36859000,1710910799999,174117205.16006210,101171,1298.34323000,79800453.70796530,0
1710910800000,61646.91000000,61774.25000000,60796.41000000,60983.95000000,2831.48492000,1710912599999,173228039.39879080,92119,1193.38534000,73020122.92891850,0
1710912600000,60983.94000000,61688.00000000,60775.00000000,61549.53000000,1899.88990000,1710914399999,116449578.47595640,71856,1024.01973000,62763563.04314200,0
1710914400000,61549.54000000,61998.99000000,61520.64000000,61987.09000000,1353.34291000,1710916199999,83571505.84487650,56838,717.66644000,44318544.97672340,0
1710916200000,61987.10000000,62033.53000000,61676.28000000,61749.99000000,1229.23159000,1710917999999,76031648.00325280,49675,559.17183000,34591421.78022310,0
1710918000000,61750.00000000,62728.40000000,61724.79000000,62621.10000000,1647.63989000,1710919799999,102496138.59794400,66097,883.07866000,54956893.53851790,0
1710919800000,62621.10000000,63198.83000000,62419.33000000,62957.85000000,2316.01088000,1710921599999,145461192.66030490,74350,1258.75784000,79057283.08634070,0
1710921600000,62957.85000000,63208.22000000,62709.88000000,63001.11000000,1641.30595000,1710923399999,103382862.84452450,57722,866.38273000,54580249.88675020,0
1710923400000,63001.11000000,63295.00000000,62668.80000000,62684.71000000,1751.53362000,1710925199999,110174522.58384940,62368,744.71543000,46864571.27343170,0
1710925200000,62684.71000000,63240.07000000,62640.00000000,63102.53000000,1461.00051000,1710926999999,91940368.64697010,62494,786.76005000,49527763.01528800,0
1710927000000,63102.52000000,63369.58000000,63041.11000000,63215.90000000,1238.96158000,1710928799999,78262248.84350280,57700,618.22572000,39056742.72605530,0
1710928800000,63215.91000000,63289.15000000,62841.10000000,63256.03000000,994.79382000,1710930599999,62745709.28056630,57529,466.52130000,29429137.27490890,0
1710930600000,63256.04000000,63256.04000000,62891.30000000,63041.10000000,838.85014000,1710932399999,52910609.53254810,54768,379.98984000,23962525.73192390,0
1710932400000,63041.09000000,63957.74000000,62973.15000000,63831.66000000,1567.27676000,1710934199999,99282166.01537130,77007,961.04609000,60875680.79155780,0
1710934200000,63831.65000000,63861.10000000,63107.42000000,63392.94000000,1608.13342000,1710935999999,102099733.23609160,78929,725.68519000,46075695.08034330,0
1710936000000,63392.95000000,64353.57000000,63175.17000000,64014.91000000,2336.28046000,1710937799999,149174592.89874770,92667,1299.85954000,82977999.48084440,0
1710937800000,64014.91000000,64216.17000000,63780.55000000,64056.07000000,1469.86521000,1710939599999,94052404.14760300,67572,694.28193000,44427143.63508440,0
1710939600000,64056.07000000,64059.59000000,63410.00000000,63436.30000000,1355.14776000,1710941399999,86301151.54352060,72057,615.76005000,39214987.41202050,0
1710941400000,63436.30000000,63855.50000000,63066.60000000,63608.83000000,1885.20116000,1710943199999,119697450.49243670,88236,967.12647000,61410846.70891390,0
1710943200000,63608.83000000,64177.94000000,63453.01000000,64147.37000000,1719.56867000,1710944999999,109806359.28569250,77738,888.28420000,56715685.27485790,0
1710945000000,64147.37000000,64330.00000000,63955.00000000,64227.38000000,1754.44399000,1710946799999,112532690.17448910,80214,956.64126000,61367374.30226710,0
1710946800000,64227.38000000,64395.00000000,63697.43000000,63934.38000000,2293.40723000,1710948599999,146893503.33906210,89623,1203.58691000,77103943.52241700,0
1710948600000,63934.39000000,63976.05000000,63400.01000000,63600.37000000,1763.48594000,1710950399999,112275165.40274130,65273,823.01189000,52393860.95995800,0
1710950400000,63600.37000000,63790.00000000,62321.97000000,62632.85000000,2709.67405000,1710952199999,171285478.08433000,107817,1243.52667000,78628629.49300340,0
1710952200000,62632.85000000,63418.53000000,62022.00000000,63103.63000000,3060.48103000,1710953999999,192275468.56351460,113031,1535.89863000,96510807.43297440,0
1710954000000,63103.63000000,64776.72000000,62841.11000000,64086.21000000,4042.64855000,1710955799999,258714756.61512920,122529,2272.82828000,145465249.74876640,0
1710955800000,64086.21000000,64463.98000000,63857.52000000,64107.58000000,1403.09407000,1710957599999,89977067.84223510,57169,668.32701000,42857058.36501580,0
1710957600000,64107.58000000,64800.00000000,63983.40000000,64403.89000000,2106.00191000,1710959399999,135746571.65398520,80869,1104.31796000,71186072.39398560,0
